"","scientificName","spp_name_corrected","assessmentId","internalTaxonId","realm","systems","assessmentDate","redlistCategory","criteriaVersion","populationTrend","Synonyms_or_previous_lump","Cat_effect","EXCLUDE_cats_not_attributed","Web_of_Science_no_claim","Snowball","Wallach_AU_mammal_no_claim","Opportunistic","IUCN_references","Doherty_references0_NA","Dickman_AU_mammal","Medina_references0_NA","Woinarski_AU_mammal","Garnett2020_AU_birds","Garnett2010_AU_birds","Alberts_iguanas","Oedin_bats","Welch_bats","Hume_EX_birds","Hess","Search_conducted","Mass_g_final","exclude_species","class"
"65","Bettongia gaimardi","Bettongia gaimardi",21960911,2783,"Australasian","Terrestrial","2016-02-11 00:00:00 UTC","Near Threatened",3.1,"Unknown","Kangurus gaimardi","Predation",NA,4,NA,"3",NA,3,NA,"Cats not mentioned",NA,"Not attributed","","","","","","",NA,"2025-01-01T00:00:00Z",1660,"included_species","Mammals"
"66","Bettongia lesueur","Bettongia lesueur",21961179,2784,"Australasian","Terrestrial","2016-02-11 00:00:00 UTC","Near Threatened",3.1,"Unknown","Bettongia lesueuri, Hypsiprymnus lesueur","Predation",NA,15,NA,"9",1,3,NA,"1",NA,"2","","","","","","",NA,"2025-01-01T00:00:00Z",1500,"included_species","Mammals"
"67","Bettongia penicillata","Bettongia penicillata",21961347,2785,"Australasian","Terrestrial","2012-12-31 00:00:00 UTC","Critically Endangered",3.1,"Decreasing",NA,"Predation",NA,13,NA,"11",NA,2,4,"1",NA,"2","","","","","","",NA,"2025-01-01T00:00:00Z",1300,"included_species","Mammals"
"68","Bettongia tropica","Bettongia tropica",115063540,2787,"Australasian","Terrestrial","2012-12-31 00:00:00 UTC","Endangered",3.1,"Decreasing",NA,"Predation",NA,2,NA,"0",1,2,1,"Cats not mentioned",NA,"0","","","","","","",NA,"2025-04-01T00:00:00Z",1200,"included_species","Mammals"
"69","Boa orophias","Boa orophias",75171346,74866530,"Neotropical","Terrestrial","2015-07-20 00:00:00 UTC","Endangered",3.1,"Decreasing","Boa constrictor orophias","Predation",NA,0,NA,"",NA,0,NA,"",NA,"","","","","","","",NA,"2025-03-01T00:00:00Z",NA,"included_species","Reptiles"
"70","Bolyeria multocarinata","Bolyeria multocarinata",13483086,2864,"Afrotropical","Terrestrial","2020-01-29 00:00:00 UTC","Extinct",3.1,"","Eryx multocarinata","Predation",NA,0,NA,"",NA,0,NA,"",NA,"","","","","","","",NA,"2025-01-01T00:00:00Z",NA,"included_species","Reptiles"
"71","Bostrychia bocagei","Bostrychia bocagei",177028688,22697478,"Afrotropical","Terrestrial","2020-06-09 00:00:00 UTC","Critically Endangered",3.1,"Decreasing",NA,"Predation",NA,0,NA,"",NA,1,NA,"",NA,"","","","","","","",NA,"2025-06-01T00:00:00Z",866,"included_species","Birds"
"72","Botaurus poiciloptilus","Botaurus poiciloptilus",217377735,22697353,"Oceanian","Freshwater (=Inland waters)|Marine","2022-06-06 00:00:00 UTC","Vulnerable",3.1,"Decreasing","","Predation",NA,1,NA,"",NA,0,NA,"",NA,"","0","Not attributed","","","","",NA,"2025-05-01T00:00:00Z",1083.69,"included_species","Birds"
"73","Brachylophus bulabula","Brachylophus bulabula",1414101,174471,"Oceanian","Terrestrial","2012-06-19 00:00:00 UTC","Endangered",3.1,"Decreasing","Brachylophus fasciatus","Predation",NA,0,NA,"",NA,0,2,"",1,"","","","","","","",NA,"2025-01-01T00:00:00Z",NA,"included_species","Reptiles"
"74","Brachylophus fasciatus","Brachylophus fasciatus",2791124,19243030,"Oceanian","Terrestrial","2012-06-21 00:00:00 UTC","Endangered",3.1,"Decreasing","Iguana fasciata","Predation",NA,0,NA,"",NA,0,2,"",1,"","","","","","","",NA,"2025-01-01T00:00:00Z",NA,"included_species","Reptiles"
"75","Brachylophus gau","Brachylophus gau",152294669,152294642,"Oceanian","Terrestrial","2019-06-05 00:00:00 UTC","Endangered",3.1,"Decreasing",NA,"Predation",NA,0,NA,"",NA,1,NA,"",NA,"","","","","","","",NA,"2025-06-01T00:00:00Z",NA,"included_species","Reptiles"
"76","Brachylophus vitiensis","Brachylophus vitiensis",2791620,2965,"Oceanian","Terrestrial","2012-06-22 00:00:00 UTC","Critically Endangered",3.1,"Decreasing",NA,"Predation",NA,0,NA,"",2,0,3,"",1,"","","","","","","",NA,"2025-01-01T00:00:00Z",NA,"included_species","Reptiles"
"77","Branta sandvicensis","Branta sandvicensis",194369606,22679929,"Oceanian","Terrestrial","2021-01-14 00:00:00 UTC","Near Threatened",3.1,"Increasing","Anser sandvicensis","Predation",NA,2,2,"",NA,2,3,"",2,"","","","","","","",NA,"2025-07-01T00:00:00Z",2044.12,"included_species","Birds"
"78","Bulweria fallax","Bulweria fallax",132628433,22698136,"Afrotropical|Palearctic","Terrestrial|Marine","2018-08-07 00:00:00 UTC","Near Threatened",3.1,"Unknown",NA,"Predation",NA,0,NA,"",NA,1,NA,"",NA,"","","","","","","",NA,"2025-05-01T00:00:00Z",173,"included_species","Birds"
"79","Burramys parvus","Burramys parvus",9775825,3339,"Australasian","Terrestrial","2008-06-30 00:00:00 UTC","Critically Endangered",3.1,"Decreasing",NA,"Predation",NA,0,12,"1",NA,0,3,"0",NA,"2","","","","","","",NA,"2025-01-01T00:00:00Z",41.5,"included_species","Mammals"
