node_id,article_node_name,evidence_inclusion,Peer_reviewed_source,evidence_type,has_data,of_quality,evidence_type_synthetic,evidence_type_fine,evidence_type_simple,in_support,evidence_type_synthetic_simple
(Hansen 2006)_EXCLUDE_NA_Expert opinion_NA_NA,(Hansen 2006),EXCLUDE,"",Does not test claim,"",no,Does not test claim,Expert opinion,Excluded,Not relevant,Excluded
(Hardman 2006)_INCLUDE_NA_Predation in support_no_no,(Hardman 2006),INCLUDE,"",Predation in support,no,no,Predation in support without data,Predation in support without data,Predation without data,Yes,Predation in support without data
(Harlow & Biciloa 2001)_EXCLUDE_NA_Expert opinion_NA_NA,(Harlow & Biciloa 2001),EXCLUDE,"",Does not test claim,"",no,Does not test claim,Expert opinion,Excluded,Not relevant,Excluded
(Hess 2014) core source_claim,(Hess 2014) core source,claim,"",Core claim,"",no,Core claim,Core claim,Core claim,Not relevant,Core claim
(Hohnen et al. 2016a)_EXCLUDE_NA_Expert opinion_NA_NA,(Hohnen et al. 2016a),EXCLUDE,"",Does not test claim,"",no,Does not test claim,Expert opinion,Excluded,Not relevant,Excluded
(Hollis 2011)_EXCLUDE_NA_No claim_NA_NA,(Hollis 2011),EXCLUDE,"",No claim,"",no,No claim,No claim,Excluded,Not relevant,Excluded
(Holzapfel et al. 2008)_INCLUDE_NA_Predation in support_no_no,(Holzapfel et al. 2008),INCLUDE,"",Predation in support,no,no,Predation in support without data,Predation in support without data,Predation without data,Yes,Predation in support without data
(Honegger 1981)_EXCLUDE_NA_Expert opinion_NA_NA,(Honegger 1981),EXCLUDE,"",Does not test claim,"",no,Does not test claim,Expert opinion,Excluded,Not relevant,Excluded
(Hume 2017) core source_claim,(Hume 2017) core source,claim,"",Core claim,"",no,Core claim,Core claim,Core claim,Not relevant,Core claim
(IUCN 2025) core source_claim,(IUCN 2025) core source,claim,"",Core claim,"",no,Core claim,Core claim,Core claim,Not relevant,Core claim
(Jahncke & Goya 1998)_EXCLUDE_NA_Expert opinion_NA_NA,(Jahncke & Goya 1998),EXCLUDE,"",Does not test claim,"",no,Does not test claim,Expert opinion,Excluded,Not relevant,Excluded
(Jehl & Parkes 1983)_EXCLUDE_NA_Expert opinion_NA_NA,(Jehl & Parkes 1983),EXCLUDE,"",Does not test claim,"",no,Does not test claim,Expert opinion,Excluded,Not relevant,Excluded
(Jehl & Parkes 1983)_INCLUDE_NA_Population not in support_yes_no,(Jehl & Parkes 1983),INCLUDE,"",Population not in support,yes,no,Population not in support with data,Population not in support with data,Population with data,No,Population not in support with data
(Jehl & SI 1975)_EXCLUDE_NA_No claim_NA_NA,(Jehl & SI 1975),EXCLUDE,"",No claim,"",no,No claim,No claim,Excluded,Not relevant,Excluded
(Jehl & SI 1975)_EXCLUDE_NA_Expert opinion_NA_NA,(Jehl & SI 1975),EXCLUDE,"",Does not test claim,"",no,Does not test claim,Expert opinion,Excluded,Not relevant,Excluded
(Juhasz et al. 2022b)_EXCLUDE_NA_Expert opinion_NA_NA,(Juhasz et al. 2022b),EXCLUDE,"",Does not test claim,"",no,Does not test claim,Expert opinion,Excluded,Not relevant,Excluded
(Keedwell 2005)_INCLUDE_NA_Predation in support_no_no,(Keedwell 2005),INCLUDE,"",Predation in support,no,no,Predation in support without data,Predation in support without data,Predation without data,Yes,Predation in support without data
(Keitt 2005)_INCLUDE_NA_Predation in support_no_no,(Keitt 2005),INCLUDE,"",Predation in support,no,no,Predation in support without data,Predation in support without data,Predation without data,Yes,Predation in support without data
(Keitt 2005)_EXCLUDE_NA_No claim_NA_NA,(Keitt 2005),EXCLUDE,"",No claim,"",no,No claim,No claim,Excluded,Not relevant,Excluded
(King et al. 2012)_INCLUDE_NA_Predation not in support_no_no,(King et al. 2012),INCLUDE,"",Predation not in support,no,no,Predation not in support without data,Predation not in support without data,Predation without data,No,Predation not in support without data
(King et al. 2012)_INCLUDE_NA_Population in support_yes_no,(King et al. 2012),INCLUDE,"",Population in support,yes,no,Population in support with data,Population in support with data,Population with data,Yes,Population in support with data
(Lavery et al. 2022)_EXCLUDE_NA_Expert opinion_NA_NA,(Lavery et al. 2022),EXCLUDE,"",Does not test claim,"",no,Does not test claim,Expert opinion,Excluded,Not relevant,Excluded
(Li et al. 2014)_EXCLUDE_NA_No claim_NA_NA,(Li et al. 2014),EXCLUDE,"",No claim,"",no,No claim,No claim,Excluded,Not relevant,Excluded
(Malachowski et al. 2018)_EXCLUDE_NA_Expert opinion_NA_NA,(Malachowski et al. 2018),EXCLUDE,"",Does not test claim,"",no,Does not test claim,Expert opinion,Excluded,Not relevant,Excluded
(Malachowski et al. 2022)_INCLUDE_NA_Predation in support_no_no,(Malachowski et al. 2022),INCLUDE,"",Predation in support,no,no,Predation in support without data,Predation in support without data,Predation without data,Yes,Predation in support without data
(Martínez-Gómez & Curry 1996)_INCLUDE_NA_Predation not in support_no_no,(Martínez-Gómez & Curry 1996),INCLUDE,"",Predation not in support,no,no,Predation not in support without data,Predation not in support without data,Predation without data,No,Predation not in support without data
(Martínez-Gómez & Curry 1996)_INCLUDE_NA_Predation in support_no_no,(Martínez-Gómez & Curry 1996),INCLUDE,"",Predation in support,no,no,Predation in support without data,Predation in support without data,Predation without data,Yes,Predation in support without data
(Martınez-Gomez et al. 2001)_INCLUDE_NA_Population not in support_yes_no,(Martınez-Gomez et al. 2001),INCLUDE,"",Population not in support,yes,no,Population not in support with data,Population not in support with data,Population with data,No,Population not in support with data
(McAlpin 2001)_INCLUDE_NA_Predation in support_no_no,(McAlpin 2001),INCLUDE,"",Predation in support,no,no,Predation in support without data,Predation in support without data,Predation without data,Yes,Predation in support without data
(McChesney & Tershy 1998)_INCLUDE_NA_Predation in support_no_no,(McChesney & Tershy 1998),INCLUDE,"",Predation in support,no,no,Predation in support without data,Predation in support without data,Predation without data,Yes,Predation in support without data
