cited_by_id,article_id,edge_type,scientificName,encounter_method
(Dickman 1996b) core source_claim,(Copley 1994)_EXCLUDE_0_Inaccessible_NA_NA,citation,Pseudomys australis,core_sources
(Dickman 1996b) core source_claim,(Ford 1979)_EXCLUDE_0_No claim_NA_NA,citation,Phascogale tapoatafa,core_sources
(Dickman 1996b) core source_claim,(Friend 1990)_EXCLUDE_1_Opinion claim_NA_NA,citation,Myrmecobius fasciatus,core_sources
(Dickman 1996b) core source_claim,(Horsup & Evans 1993)_INCLUDE_NA_Predation in support_no_no,citation,Onychogalea fraenata,core_sources
(Dickman 1996b) core source_claim,NOTHING_EXCLUDE_NA_No citation given_NA_NA Burramys parvus,citation,Burramys parvus,core_sources
(Dickman 1996b) core source_claim,NOTHING_EXCLUDE_NA_No citation given_NA_NA Chaeropus ecaudatus,citation,Chaeropus ecaudatus,core_sources
(Dickman 1996b) core source_claim,NOTHING_EXCLUDE_NA_No citation given_NA_NA Conilurus albipes,citation,Conilurus albipes,core_sources
(Dickman 1996b) core source_claim,NOTHING_EXCLUDE_NA_No citation given_NA_NA Dasyurus hallucatus,citation,Dasyurus hallucatus,core_sources
(Dickman 1996b) core source_claim,NOTHING_EXCLUDE_NA_No citation given_NA_NA Dasyurus viverrinus,citation,Dasyurus viverrinus,core_sources
(Dickman 1996b) core source_claim,NOTHING_EXCLUDE_NA_No citation given_NA_NA Lagostrophus fasciatus,citation,Lagostrophus fasciatus,core_sources
(Dickman 1996b) core source_claim,NOTHING_EXCLUDE_NA_No citation given_NA_NA Macrotis lagotis,citation,Macrotis lagotis,core_sources
(Dickman 1996b) core source_claim,NOTHING_EXCLUDE_NA_No citation given_NA_NA Mesembriomys macrurus,citation,Mesembriomys macrurus,core_sources
(Dickman 1996b) core source_claim,NOTHING_EXCLUDE_NA_No citation given_NA_NA Notomys aquilo,citation,Notomys aquilo,core_sources
(Dickman 1996b) core source_claim,NOTHING_EXCLUDE_NA_No citation given_NA_NA Notomys fuscus,citation,Notomys fuscus,core_sources
(Dickman 1996b) core source_claim,NOTHING_EXCLUDE_NA_No citation given_NA_NA Ornithorhynchus anatinus,citation,Ornithorhynchus anatinus,core_sources
(Dickman 1996b) core source_claim,NOTHING_EXCLUDE_NA_No citation given_NA_NA Perameles bougainville,citation,Perameles bougainville,core_sources
(Dickman 1996b) core source_claim,NOTHING_EXCLUDE_NA_No citation given_NA_NA Petrogale penicillata,citation,Petrogale penicillata,core_sources
(Dickman 1996b) core source_claim,NOTHING_EXCLUDE_NA_No citation given_NA_NA Potorous tridactylus,citation,Potorous tridactylus,core_sources
(Dickman 1996b) core source_claim,NOTHING_EXCLUDE_NA_No citation given_NA_NA Pseudocheirus occidentalis,citation,Pseudocheirus occidentalis,core_sources
(Dickman 1996b) core source_claim,NOTHING_EXCLUDE_NA_No citation given_NA_NA Pseudomys fieldi,citation,Pseudomys fieldi,core_sources
(Dickman 1996b) core source_claim,NOTHING_EXCLUDE_NA_No citation given_NA_NA Pseudomys gouldii,citation,Pseudomys gouldii,core_sources
(Dickman 1996b) core source_claim,NOTHING_EXCLUDE_NA_No citation given_NA_NA Pseudomys oralis,citation,Pseudomys oralis,core_sources
(Dickman 1996b) core source_claim,NOTHING_EXCLUDE_NA_No citation given_NA_NA Pseudomys shortridgei,citation,Pseudomys shortridgei,core_sources
(Dickman 1996b) core source_claim,NOTHING_EXCLUDE_NA_No citation given_NA_NA Sminthopsis butleri,citation,Sminthopsis butleri,core_sources
(Dickman 1996b) core source_claim,NOTHING_EXCLUDE_NA_No citation given_NA_NA Sminthopsis douglasi,citation,Sminthopsis douglasi,core_sources
