key,article_id,cited_by_id,scientificName,distance_to_terminus,article_node_name,Peer_reviewed_source,in_support,evidence_type_synthetic,has_data,of_quality,source_year
Anarhynchus frontalis (Doherty et al. 2016) core source_claim,(Battley & Moore 2004)_EXCLUDE_1_No claim_NA_NA,(Doherty et al. 2016) core source_claim,Anarhynchus frontalis,1,(Battley & Moore 2004),"",Not relevant,No claim,"",no,2014
Anarhynchus frontalis (IUCN 2025) core source_claim,(Battley & Moore 2004)_EXCLUDE_1_No claim_NA_NA,(IUCN 2025) core source_claim,Anarhynchus frontalis,1,(Battley & Moore 2004),"",Not relevant,No claim,"",no,2017
Anas aucklandica (Doherty et al. 2016) core source_claim,(Kear & Williams 1978)_EXCLUDE_1_Opinion claim_NA_NA,(Doherty et al. 2016) core source_claim,Anas aucklandica,1,(Kear & Williams 1978),"",Not relevant,Opinion claim,"",no,2014
Anas aucklandica (Doherty et al. 2016) core source_claim,(Williams 1964)_EXCLUDE_1_Opinion claim_NA_NA,(Doherty et al. 2016) core source_claim,Anas aucklandica,2,(Williams 1964),"",Not relevant,Opinion claim,"",no,2014
Anas aucklandica (IUCN 2025) core source_claim,(Williams & Robertson 2013)_EXCLUDE_0_Opinion claim_NA_NA,(IUCN 2025) core source_claim,Anas aucklandica,1,(Williams & Robertson 2013),"",Not relevant,Opinion claim,"",no,2020
Anas aucklandica (IUCN 2025) core source_claim,(Williams 1986)_EXCLUDE_1_Opinion claim_NA_NA,(IUCN 2025) core source_claim,Anas aucklandica,1,(Williams 1986),"",Not relevant,Opinion claim,"",no,2020
Anas aucklandica (Medina et al. 2011) core source_claim,(BirdLife International 2000)_EXCLUDE_0_Inaccessible_NA_NA,(Medina et al. 2011) core source_claim,Anas aucklandica,1,(BirdLife International 2000),0,Not relevant,Inaccessible,"",no,2009
Anas aucklandica Opportunistic_Systematic external review,(Miskelly et al. 2020)_EXCLUDE_1_Opinion claim_NA_NA,Opportunistic_Systematic external review,Anas aucklandica,1,(Miskelly et al. 2020),"",Not relevant,Opinion claim,"",no,2025
Anas aucklandica Web of Science_Systematic external review,(Gillies et al. 2003)_EXCLUDE_1_No claim_NA_NA,Web of Science_Systematic external review,Anas aucklandica,1,(Gillies et al. 2003),"",Not relevant,No claim,"",no,2025
Anas chlorotis (Doherty et al. 2016) core source_claim,(Alley et al. 2007)_INCLUDE_NA_Predation in support_no_no,(Doherty et al. 2016) core source_claim,Anas chlorotis,1,(Alley et al. 2007),"",Yes,Predation in support without data,no,no,2014
Anas chlorotis (Doherty et al. 2016) core source_claim,(Barker & Williams 2002)_INCLUDE_NA_Predation not in support_no_no,(Doherty et al. 2016) core source_claim,Anas chlorotis,2,(Barker & Williams 2002),"",No,Predation not in support without data,no,no,2014
Anas chlorotis (Doherty et al. 2016) core source_claim,(Barker 1998)_EXCLUDE_0_Inaccessible_NA_NA,(Doherty et al. 2016) core source_claim,Anas chlorotis,3,(Barker 1998),0,Not relevant,Inaccessible,"",no,2014
Anas chlorotis (Doherty et al. 2016) core source_claim,(Barker 1999)_EXCLUDE_0_Inaccessible_NA_NA,(Doherty et al. 2016) core source_claim,Anas chlorotis,3,(Barker 1999),0,Not relevant,Inaccessible,"",no,2014
Anas chlorotis (Doherty et al. 2016) core source_claim,(Hayes & Williams 1982)_INCLUDE_NA_Population in support_no_no,(Doherty et al. 2016) core source_claim,Anas chlorotis,2,(Hayes & Williams 1982),"",Yes,Population in support without data,no,no,2014
Anas chlorotis (Doherty et al. 2016) core source_claim,(O'Connor 2004)_EXCLUDE_0_Inaccessible_NA_NA,(Doherty et al. 2016) core source_claim,Anas chlorotis,2,(O'Connor 2004),0,Not relevant,Inaccessible,"",no,2014
Anas chlorotis (Doherty et al. 2016) core source_claim,(Rickett 2010)_EXCLUDE_0_Opinion claim_NA_NA,(Doherty et al. 2016) core source_claim,Anas chlorotis,1,(Rickett 2010),"",Not relevant,Opinion claim,"",no,2014
Anas chlorotis (Doherty et al. 2016) core source_claim,(Skilton 2009)_EXCLUDE_0_Inaccessible_NA_NA,(Doherty et al. 2016) core source_claim,Anas chlorotis,2,(Skilton 2009),0,Not relevant,Inaccessible,"",no,2014
Anas chlorotis (Doherty et al. 2016) core source_claim,(Ward-Smith & Nagakawa 2012)_EXCLUDE_0_Inaccessible_NA_NA,(Doherty et al. 2016) core source_claim,Anas chlorotis,2,(Ward-Smith & Nagakawa 2012),0,Not relevant,Inaccessible,"",no,2014
Anas chlorotis (Doherty et al. 2016) core source_claim,(Williams 2001)_EXCLUDE_1_Opinion claim_NA_NA,(Doherty et al. 2016) core source_claim,Anas chlorotis,3,(Williams 2001),"",Not relevant,Opinion claim,"",no,2014
Anas chlorotis (IUCN 2025) core source_claim,(Barker 1999)_EXCLUDE_0_Inaccessible_NA_NA,(IUCN 2025) core source_claim,Anas chlorotis,2,(Barker 1999),0,Not relevant,Inaccessible,"",no,2019
