scientificName,value,pub_year,Note
Sminthopsis butleri,(Woinarski 2004),2004,
Potorous gilbertii,(Courtenay & Friend 2004),2004,
Charadrius obscurus,(Dowding & Davis 2007),2007,
Charadrius obscurus,(Dowding & Murphy 1993),1993,
Charadrius obscurus,(Dowding 1999),1999,
Coleura seychellensis,(Gerlach 2011),2011,
Pelecanoides garnotii,(Jahncke & Goya 1998),1998,
Anas aucklandica,(Kear & Williams 1978),1978,
Aegotheles savesi,(Ekstrom et al. 2002),2002,
Gallirallus lafresnayanus,(Ekstrom et al. 2002),2002,
Gymnomyza aubryana,(Ekstrom et al. 2002),2002,
Rhynochetos jubatus,(Ekstrom et al. 2002),2002,
Chlidonias albostriatus,(Monks et al. 2013),2013,
Pterodroma cahow,(Madeiros et al. 2012),2012,
Setonix brachyurus,(Short et al. 1992),1992,
Oligosoma otagense,(Reardon et al. 2012),2012,
Ptilinopus huttoni,(Thibault & Varney 1991),1991,
Lagostrophus fasciatus,(Morris 2000),2000,
Sternula nereis,(Hansen 2006),2006,
Megapodius nicobariensis,(Sivakumar 2010),2010,
Burramys parvus,(Watson 2006),2006,
Synthliboramphus hypoleucus,(Keitt 2005),2005,
Synthliboramphus scrippsi,(Keitt 2005),2005,
Pterodroma externa,(Brooke 1987b),1987,
Pterodroma longirostris,(Brooke 1987b),1987,
Synthliboramphus craveri,(DeWeese & Anderson 1976),1976,
Corvus kubaryi,(Zarones et al. 2015),2015,
Anas chlorotis,(Alley et al. 2007),2007,
Phalacrocorax featherstoni,(Bell & Bell 2000b),2000,
Pterodroma cookii,(Imber et al. 2003),2003,
Pterodroma cookii,(Rayner et al. 2008),2008,
Pterodroma cookii,(Rayner et al. 2007),2007,
Macrotis lagotis,(Rich et al. 2014),2014,
Crocidura trichura,(Schulz 2004),2004,
Didunculus strigirostris,(MNRE 2006),2006,
Numenius tahitiensis,(Marks & Redmond 1994),1994,
Mimus graysoni,(Martínez-Gómez & Curry 1996),1996,
Mimus graysoni,(Martınez-Gomez et al. 2001),2001,
Puffinus auricularis,(Martınez-Gomez & Jacobsen 2004),2004,
Megadyptes antipodes,(Massaro & Blair 2003),2003,
Synthliboramphus hypoleucus,(McChesney & Tershy 1998),1998,
Apteryx australis,(McLennan et al. 2004),2004,
Apteryx mantelli,(McLennan et al. 2004),2004,
Apteryx australis,(McLennan et al. 1996),1996,
Apteryx mantelli,(McLennan et al. 1996),1996,
Gallotia bravoana,(Medina & Nogales 2009),2009,
Gallotia simonyi,(Medina & Nogales 2009),2009,
Cyclura carinata,(Mitchell et al. 2002),2002,
Tupaia nicobarica,(Molur et al. 2005),2005,
Macrotis lagotis,(Moseby et al. 2015),2015,
Macrotis lagotis,(Moseby et al. 2015),2015,
Macrotis lagotis,(Moseby et al. 2015),2015,
Leporillus conditor,(Moseby et al. 2011),2011,
Macrotis lagotis,(Moseby et al. 2011),2011,
Pterodroma sandwichensis,(Carlile et al. 2003),2003,
Charadrius sanctaehelenae,(McCulloch 1991),1991,
